"name","description","category","subCategory","stockQty","isOrganic","isFeatured","isAvailable","tags","images","v1_size","v1_unit","v1_mrp","v1_price","v1_sku","v2_size","v2_unit","v2_mrp","v2_price","v2_sku","v3_size","v3_unit","v3_mrp","v3_price","v3_sku"
"Bottle Gourd Lauki","Tender bottle gourd low in calories and cooling in nature — ideal for lauki sabzi kofta and juice","Fresh Vegetables","","80","false","false","true","lauki,gourd,low-calorie,cooling","https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600&q=80","500g","g","29","24","LAUK-500G","1kg","kg","49","39","LAUK-1KG","","","","",""
"Ridge Gourd Turai","Fresh ridge gourd with ridged skin and soft flesh — excellent for turai sabzi and dal","Fresh Vegetables","","70","false","false","true","turai,ridgegourd,sabzi,fresh","https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600&q=80","500g","g","29","24","TURA-500G","1kg","kg","49","39","TURA-1KG","","","","",""
"Bitter Gourd Karela","Fresh bitter gourd with a distinct medicinal bitterness known to regulate blood sugar naturally","Fresh Vegetables","","60","false","false","true","karela,bittergourd,diabetic,medicinal","https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600&q=80","250g","g","39","29","KARE-250G","500g","g","69","54","KARE-500G","","","","",""
"Drumstick Moringa","Fresh drumstick moringa pods packed with protein calcium and iron — a South Indian staple","Fresh Vegetables","","60","false","false","true","drumstick,moringa,sahjan,superfood","https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600&q=80","250g","g","39","29","DSTK-250G","500g","g","69","54","DSTK-500G","","","","",""
"Fresh Coriander Dhania","Bright green fragrant coriander leaves essential for chutneys garnishes and Indian curries","Herbs & Seasonings","","150","true","false","true","coriander,dhania,herb,green","https://images.unsplash.com/photo-1606923829579-0cb981a83e2e?w=600&q=80","100g","g","19","14","DHAN-100G","250g","g","39","29","DHAN-250G","","","","",""
"Fresh Mint Pudina","Cool aromatic mint leaves great for raita chutneys lemonade mojitos and biryanis","Herbs & Seasonings","","100","true","false","true","mint,pudina,herb,cooling","https://images.unsplash.com/photo-1586671267731-da2cf3ceeb80?w=600&q=80","100g","g","19","14","MINT-100G","250g","g","39","29","MINT-250G","","","","",""
"Fresh Ginger Root","Knobby pungent fresh ginger with a warming spicy kick — essential for chai curries and marinades","Herbs & Seasonings","","120","false","false","true","ginger,adrak,spice,warming","https://images.unsplash.com/photo-1615485290382-bc895f8b4a51?w=600&q=80","100g","g","29","24","GING-100G","250g","g","64","54","GING-250G","500g","g","119","99","GING-500G"
"Green Chilies Hari Mirch","Fresh fiery green chilies adding heat and flavour to Indian dishes pickles and chutneys","Herbs & Seasonings","","100","false","false","true","chili,harimirch,spice,hot","https://images.unsplash.com/photo-1583119022894-919a68a3d0e3?w=600&q=80","100g","g","19","14","GCHI-100G","250g","g","39","29","GCHI-250G","","","","",""
"Curry Leaves Kadi Patta","Aromatic fresh curry leaves indispensable for South Indian tempering dals and coconut chutneys","Herbs & Seasonings","","80","false","false","true","curryleaves,kadipatta,southindian,tempering","https://images.unsplash.com/photo-1606923829579-0cb981a83e2e?w=600&q=80","50g","g","19","14","CURV-50G","100g","g","29","24","CURV-100G","","","","",""
"Fresh Garlic Bulbs","Pungent fresh garlic bulbs adding depth and warmth to curries marinades and bread","Herbs & Seasonings","","100","false","false","true","garlic,lahsun,bulb,pungent","https://images.unsplash.com/photo-1501963422762-3d89bd989eb3?w=600&q=80","100g","g","29","24","GARL-100G","250g","g","64","54","GARL-250G","500g","g","119","99","GARL-500G"
"Lemongrass Stalks","Fresh lemongrass stalks with a bright citrusy fragrance used in Thai curries soups and herbal teas","Herbs & Seasonings","","60","false","false","true","lemongrass,herb,thai,citrus","https://images.unsplash.com/photo-1606923829579-0cb981a83e2e?w=600&q=80","100g","g","39","29","LGRS-100G","200g","g","69","54","LGRS-200G","","","","",""
"Fresh Basil Italian","Fragrant Italian basil with sweet peppery aroma — perfect for pesto pasta pizza and salads","Herbs & Seasonings","","50","false","false","true","basil,italian,herb,pesto","https://images.unsplash.com/photo-1606923829579-0cb981a83e2e?w=600&q=80","50g","g","49","39","BASI-50G","100g","g","89","69","BASI-100G","","","","",""
"Fresh Dill Suva Bhaji","Feathery dill fronds with a fresh anise-like flavour used in raita fish and North Indian sabzis","Herbs & Seasonings","","50","false","false","true","dill,suva,herb,anise","https://images.unsplash.com/photo-1606923829579-0cb981a83e2e?w=600&q=80","100g","g","29","24","DILL-100G","250g","g","59","44","DILL-250G","","","","",""
"Fresh Fenugreek Methi","Tender fresh methi leaves with a mild pleasant bitterness — great for methi paratha dal and sabzi","Herbs & Seasonings","","80","false","false","true","methi,fenugreek,herb,bitter","https://images.unsplash.com/photo-1606923829579-0cb981a83e2e?w=600&q=80","250g","g","29","24","METH-250G","500g","g","49","39","METH-500G","","","","",""
"Amul Taaza Toned Milk","UHT-processed toned milk with 3% fat — consistent quality ideal for everyday use cooking and chai","Milk","","200","false","false","true","milk,amul,toned,uht","https://images.unsplash.com/photo-1550583724-b2692b85b150?w=600&q=80","500ml","ml","28","25","AMLT-500ML","1L","L","52","47","AMLT-1L","2L","L","98","88","AMLT-2L"
"Organic Full Cream Milk","Certified organic full cream milk from grass-fed cows with 6% fat — rich creamy and nutritious","Milk","","100","true","true","true","milk,organic,fullcream,grass-fed","https://images.unsplash.com/photo-1550583724-b2692b85b150?w=600&q=80","500ml","ml","39","34","ORGM-500ML","1L","L","74","64","ORGM-1L","","","","",""
"Mother Dairy A2 Cow Milk","Fresh A2 beta-casein cow milk from indigenous desi breed cows — pure nutritious and easy to digest","Milk","","120","false","false","true","milk,a2,cow,desi,pure","https://images.unsplash.com/photo-1550583724-b2692b85b150?w=600&q=80","500ml","ml","32","28","A2ML-500ML","1L","L","60","52","A2ML-1L","","","","",""
"Skimmed Milk Low Fat","Low-fat skimmed milk with less than 0.5% fat — ideal for calorie-conscious diet and protein shakes","Milk","","80","false","false","true","milk,skimmed,lowfat,diet","https://images.unsplash.com/photo-1550583724-b2692b85b150?w=600&q=80","500ml","ml","26","22","SKIM-500ML","1L","L","48","42","SKIM-1L","","","","",""
"Soy Milk Unsweetened","Plant-based unsweetened soy milk made from non-GMO soybeans — high in protein and dairy-free","Milk","","60","false","false","true","soymilk,plant-based,vegan,protein","https://images.unsplash.com/photo-1550583724-b2692b85b150?w=600&q=80","200ml","ml","35","29","SOYM-200ML","1L","L","149","129","SOYM-1L","","","","",""
"Fresh Paneer Block","Soft fresh paneer made from whole cow milk — perfect for makhani saag tikka and bhurji","Paneer & Tofu","","100","false","true","true","paneer,fresh,block,cottage-cheese","https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=600&q=80","200g","g","89","79","PAN-200G","500g","g","209","189","PAN-500G","1kg","kg","399","359","PAN-1KG"
"Malai Paneer Creamy","Extra-creamy malai paneer with a melt-in-the-mouth texture made from enriched full-cream milk","Paneer & Tofu","","60","false","false","true","paneer,malai,creamy,soft","https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=600&q=80","200g","g","99","89","MLPN-200G","500g","g","229","199","MLPN-500G","","","","",""
"Smoked Paneer","Artisanal cold-smoked paneer with a subtle woody flavour — excellent for grilling and tikka","Paneer & Tofu","","40","false","true","true","paneer,smoked,artisan,grill","https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=600&q=80","200g","g","129","109","SMPN-200G","400g","g","239","199","SMPN-400G","","","","",""
"Organic Firm Tofu","Protein-rich firm tofu from non-GMO organic soy milk — ideal for stir fries grilling and curries","Paneer & Tofu","","50","true","false","true","tofu,firm,organic,vegan","https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600&q=80","300g","g","89","79","TOFU-300G","600g","g","169","149","TOFU-600G","","","","",""
"Silken Tofu Soft","Ultra-smooth silken tofu perfect for desserts smoothies miso soup and creamy sauces","Paneer & Tofu","","40","false","false","true","tofu,silken,soft,smooth","https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600&q=80","300g","g","79","69","SILK-300G","","","","","","","","","",""
"Organic Set Dahi Thick","Thick probiotic curd set in traditional style with live cultures — rich creamy and gut-friendly","Curd & Buttermilk","","100","true","true","true","dahi,curd,probiotic,thick","https://images.unsplash.com/photo-1488477181228-c8b89e3ff4b3?w=600&q=80","400g","g","59","49","DAHI-400G","1kg","kg","129","109","DAHI-1KG","","","","",""
"Mishti Doi Bengali Sweet","Classic Bengali sweet curd made with full cream milk and jaggery — caramelised and indulgent","Curd & Buttermilk","","60","false","true","true","doi,mishti,bengali,sweet","https://images.unsplash.com/photo-1488477181228-c8b89e3ff4b3?w=600&q=80","200g","g","49","39","MISH-200G","400g","g","89","74","MISH-400G","","","","",""
"Masala Chaas Spiced","Refreshing spiced buttermilk with roasted cumin ginger and coriander — the perfect summer cooler","Curd & Buttermilk","","80","false","false","true","chaas,buttermilk,masala,spiced","https://images.unsplash.com/photo-1488477181228-c8b89e3ff4b3?w=600&q=80","200ml","ml","29","24","CHAS-200ML","500ml","ml","59","49","CHAS-500ML","","","","",""
"Greek Style Yogurt","Thick strained Greek-style yogurt with 10% protein per serving — great for parfaits dips and marinades","Curd & Buttermilk","","70","false","true","true","yogurt,greek,thick,protein","https://images.unsplash.com/photo-1488477181228-c8b89e3ff4b3?w=600&q=80","150g","g","69","59","GRKY-150G","400g","g","159","139","GRKY-400G","","","","",""
"Mango Lassi Ready","Chilled ready-to-drink mango lassi made with fresh Alphonso pulp and thick dahi — a summer staple","Curd & Buttermilk","","60","false","true","true","lassi,mango,alphonso,drink","https://images.unsplash.com/photo-1488477181228-c8b89e3ff4b3?w=600&q=80","200ml","ml","49","39","MLAS-200ML","500ml","ml","109","89","MLAS-500ML","","","","",""
"Farm Fresh White Eggs","Cage-free white eggs from healthy farm hens — rich in protein perfect for everyday cooking","Eggs","","200","false","true","true","eggs,white,farmfresh,protein","https://images.unsplash.com/photo-1607290941745-cca4b4f0e44e?w=600&q=80","6 pcs","pcs","69","59","WEG-6PCS","12 pcs","pcs","129","109","WEG-12PCS","30 pcs","pcs","299","269","WEG-30PCS"
"Desi Brown Eggs Country","Country desi brown eggs with rich deep-yellow yolk from free-roaming village hens","Eggs","","150","false","false","true","eggs,brown,desi,country","https://images.unsplash.com/photo-1607290941745-cca4b4f0e44e?w=600&q=80","6 pcs","pcs","79","69","DEG-6PCS","12 pcs","pcs","149","129","DEG-12PCS","","","","",""
"Omega-3 Enriched Eggs","Nutritionally enhanced eggs from hens fed with flaxseed — high in heart-healthy omega-3 fatty acids","Eggs","","80","false","true","true","eggs,omega3,enriched,healthy","https://images.unsplash.com/photo-1607290941745-cca4b4f0e44e?w=600&q=80","6 pcs","pcs","99","84","OEG-6PCS","12 pcs","pcs","189","159","OEG-12PCS","","","","",""
"Organic Free Range Eggs","Certified organic eggs from hens raised on organic feed with outdoor access — rich and flavourful","Eggs","","60","true","false","true","eggs,organic,freerange,certified","https://images.unsplash.com/photo-1607290941745-cca4b4f0e44e?w=600&q=80","6 pcs","pcs","109","94","ORG-6PCS","12 pcs","pcs","199","169","ORG-12PCS","","","","",""
"Quail Eggs Mini","Delicate speckled quail eggs with a rich creamy yolk — great as appetisers in salads and for garnishing","Eggs","","50","false","false","true","eggs,quail,mini,gourmet","https://images.unsplash.com/photo-1607290941745-cca4b4f0e44e?w=600&q=80","12 pcs","pcs","99","84","QUAL-12PCS","24 pcs","pcs","189","159","QUAL-24PCS","","","","",""
"Amul Salted Butter","India's most loved table butter with a perfect salt balance — great for spreading toast and cooking","Butter & Cheese","","150","false","false","true","butter,amul,salted,dairy","https://images.unsplash.com/photo-1589985270826-4b7bb135bc9d?w=600&q=80","100g","g","59","54","ABUT-100G","500g","g","269","249","ABUT-500G","","","","",""
"Cultured Unsalted Butter","European-style cultured butter churned from cream with a rich tangy flavour — great for baking","Butter & Cheese","","70","false","false","true","butter,cultured,unsalted,european","https://images.unsplash.com/photo-1589985270826-4b7bb135bc9d?w=600&q=80","100g","g","89","79","CBUT-100G","250g","g","199","169","CBUT-250G","","","","",""
"White Homestyle Makhan","Pure churned white butter from fresh cream with no additives — as close to homemade as possible","Butter & Cheese","","80","false","false","true","butter,white,makhan,homestyle","https://images.unsplash.com/photo-1589985270826-4b7bb135bc9d?w=600&q=80","100g","g","69","59","MAKH-100G","250g","g","159","139","MAKH-250G","","","","",""
"Pure Cow Ghee","Traditional bilona-method cow ghee with a golden colour and nutty aroma — pure nutritious and aromatic","Butter & Cheese","","80","false","true","true","ghee,cow,pure,bilona","https://images.unsplash.com/photo-1589985270826-4b7bb135bc9d?w=600&q=80","250ml","ml","349","299","GHEE-250ML","500ml","ml","649","559","GHEE-500ML","1L","L","1249","1049","GHEE-1L"
"Cheddar Cheese Sliced","Mild aged cheddar slices with a smooth easy melt — ideal for sandwiches burgers and grilled cheese","Butter & Cheese","","70","false","false","true","cheese,cheddar,sliced,mild","https://images.unsplash.com/photo-1486297678162-eb2a19b0a32d?w=600&q=80","200g","g","149","129","CHED-200G","400g","g","279","249","CHED-400G","","","","",""
"Mozzarella Cheese Block","Fresh mozzarella with a milky mild flavour and excellent stretch — essential for pizzas and pasta","Butter & Cheese","","60","false","false","true","cheese,mozzarella,pizza,stretch","https://images.unsplash.com/photo-1486297678162-eb2a19b0a32d?w=600&q=80","200g","g","169","149","MOZZ-200G","400g","g","319","279","MOZZ-400G","","","","",""
"Cream Cheese Spreadable","Smooth spreadable cream cheese with a rich tangy flavour — perfect for bagels cheesecakes and dips","Butter & Cheese","","60","false","false","true","cheese,cream,spread,tangy","https://images.unsplash.com/photo-1486297678162-eb2a19b0a32d?w=600&q=80","180g","g","149","129","CRCH-180G","360g","g","279","239","CRCH-360G","","","","",""
"Parmesan Cheese Grated","Aged Parmesan-style hard cheese finely grated — the finishing touch for pasta risotto and soups","Butter & Cheese","","40","false","false","true","cheese,parmesan,grated,aged","https://images.unsplash.com/photo-1486297678162-eb2a19b0a32d?w=600&q=80","100g","g","199","169","PARM-100G","200g","g","379","319","PARM-200G","","","","",""
"Whole Wheat Sandwich Bread","Dense wholesome sandwich bread made with 100% whole wheat flour — no maida no preservatives","Breads","","100","false","false","true","bread,wholewheat,sandwich,healthy","https://images.unsplash.com/photo-1509440159596-0249088772ff?w=600&q=80","400g","g","55","49","WWBR-400G","800g","g","99","89","WWBR-800G","","","","",""
"Multigrain Loaf Bread","Seeded multigrain bread with sunflower seeds oats and flax — hearty nutritious and fibre-rich","Breads","","80","false","true","true","bread,multigrain,seeds,fibre","https://images.unsplash.com/photo-1509440159596-0249088772ff?w=600&q=80","400g","g","69","59","MGBR-400G","800g","g","129","109","MGBR-800G","","","","",""
"Artisan Sourdough Loaf","Slow-fermented sourdough with crispy crust open crumb and complex tangy flavour — made with wild yeast","Breads","","40","false","true","true","sourdough,artisan,wildyeast,tangy","https://images.unsplash.com/photo-1509440159596-0249088772ff?w=600&q=80","400g","g","149","129","SDGH-400G","","","","","","","","","",""
"Mumbai Pav Dinner Rolls","Pillowy soft Mumbai-style pav rolls perfect for vada pav bhaji pav and sliders","Breads","","60","false","false","true","pav,rolls,mumbai,soft","https://images.unsplash.com/photo-1509440159596-0249088772ff?w=600&q=80","6 pcs","pcs","39","34","PAV-6PCS","12 pcs","pcs","69","59","PAV-12PCS","","","","",""
"Garlic Bread Baguette","Crispy French-style baguette sliced and loaded with garlic herb butter — oven-ready in 5 minutes","Breads","","50","false","false","true","garlic,bread,baguette,french","https://images.unsplash.com/photo-1509440159596-0249088772ff?w=600&q=80","200g","g","99","84","GARB-200G","","","","","","","","","",""
"Ragi Finger Millet Bread","Nutritious ragi bread fortified with finger millet high in calcium and iron — a healthy alternative","Breads","","40","false","false","true","ragi,millet,bread,calcium","https://images.unsplash.com/photo-1509440159596-0249088772ff?w=600&q=80","400g","g","79","69","RAGI-400G","","","","","","","","","",""
"Gluten Free Rice Bread","Light gluten-free bread made from rice flour — ideal for those with gluten intolerance","Breads","","30","false","false","true","glutenfree,rice,bread,healthy","https://images.unsplash.com/photo-1509440159596-0249088772ff?w=600&q=80","300g","g","149","129","GLFR-300G","","","","","","","","","",""
"Pita Bread Rounds","Soft Middle Eastern pita bread rounds with a natural pocket — great for wraps dips and sandwiches","Breads","","50","false","false","true","pita,bread,wrap,middleeastern","https://images.unsplash.com/photo-1509440159596-0249088772ff?w=600&q=80","4 pcs","pcs","89","74","PITA-4PCS","8 pcs","pcs","169","139","PITA-8PCS","","","","",""
"Chocolate Croissants","Buttery laminated croissants with a dark chocolate filling — flaky crispy outside molten inside","Cakes & Pastries","","50","false","true","true","croissant,chocolate,pastry,flaky","https://images.unsplash.com/photo-1549007953-09f9fa48da86?w=600&q=80","2 pcs","pcs","149","129","CROI-2PCS","4 pcs","pcs","279","239","CROI-4PCS","","","","",""
"Banana Walnut Muffins","Moist banana muffins with crunchy walnuts — naturally sweetened with ripe bananas no refined sugar","Cakes & Pastries","","40","false","false","true","muffin,banana,walnut,natural","https://images.unsplash.com/photo-1558024920-b41e7564db06?w=600&q=80","2 pcs","pcs","99","84","BWMF-2PCS","4 pcs","pcs","189","159","BWMF-4PCS","","","","",""
